posStoreId,name
6,Newtown
7,"Bondi Junction"
8,"Kings Cross"
9,"Australia Square"
10,"Martin Place"
11,"Westfield Sydney"
12,"Crows Nest"
13,Cronulla
14,"Westfield Bondi Junction"
16,"Canberra Centre"
17,Hamilton
18,"Manly Wharf"
19,"World Square"
20,Rhodes
21,UNSW
22,"Central Park"
23,"Westfield Parramatta"
24,"Fountain Plaza"
25,"Charlestown Square"
26,"Westfield Belconnen"
27,Shellharbour
28,"Wetherill Park"
29,"MacArthur Square"
30,"Byron Bay"
31,"Wollongong Central"
32,"Wagga Wagga"
33,Penrith
34,"Top Ryde"
35,Broadway
36,Narellan
37,"Darling Park"
38,"ICC Darling Harbour"
39,"Hoxton Park DT"
40,Gungahlin
41,"Coffs Harbour DT"
44,"Bligh Park DT"
45,"Parramatta CBD"
46,"St Ives"
47,"Werrington DT"
48,"Maitland Greenhills"
49,"Dee Why"
53,"Fortitude Valley Emporium"
54,Broadbeach
55,Carindale
56,Wintergarden
57,"Albert Street"
59,"North Lakes"
60,Southbank
61,"Eagle St Pier"
63,"Robina Town Centre"
64,Kawana
65,Gladstone
66,"Windsor Homezone"
67,"Logan Hyperdome"
68,"Harbour Town"
69,"Surfers Paradise"
70,"Post Office Square"
71,"Townsville Central"
72,"Westfield Chermside"
73,"Toowong Village"
74,"University of Queensland"
75,"South Toowoomba"
76,"Domain Central Garbutt"
77,Bundaberg
78,"Nerang DT"
79,"Orion Springfield"
80,Rockhampton
81,Buranda
82,"Griffith University"
83,"Toowoomba Central"
84,"Albany Creek DT"
85,"Acacia Ridge DT"
87,"Capalaba DT"
89,"Browns Plains DT"
91,"Augustine Heights DT"
93,"Maroochydore DT"
95,"Upper Coomera DT"
96,"Burleigh Heads DT"
97,Highpoint
98,"Swanston St"
99,"Collins Place"
100,"Emporium Melbourne"
101,"Fountain Gate"
102,Werribee
103,"567 Collins"
104,"South Yarra"
105,"Monash University"
106,Hawthorn
107,"Kennington DT"
108,"Moorabbin DT"
109,"South Yarra"
110,"Tullamarine DT"
111,"Cranbourne DT"
113,Northbridge
114,"Mount Lawley"
115,Cockburn
116,"Perth Airport"
117,Leederville
118,"Belmont (WA)"
119,"Westfield Whitford"
145,"Rutherford DT"
121,"Bakewell DT"
122,"Rothwell DT"
123,"Uni of QLD Refectory"
124,"Victoria Point DT"
125,Eastland
126,"Birtinya DT"
128,Kirrawee
129,"Box Hill"
130,"Salisbury Downs DT"
132,"Gouger St"
133,"Lane Cove"
134,Northpoint
135,"Castle Towers"
136,"Bowen Hills DT"
137,"Indooroopilly DT"
138,"King William St DT"
139,"Greenacres DT"
146,"Arana Hills DT"
147,"Helensvale DT"
148,"Haynes DT"
149,"Heatherbrae DT"
150,"Seven Hills DT"
151,Chatswood
152,"Auburn DT"
153,"North Ipswich DT"
154,"Kent St"
155,"Warners Bay DT"
156,"Glandore DT"
157,"Carousel DT"
158,"Tarneit DT"
159,Mildura
160,Kotara
161,"Frenchs Forest"
162,"Fortitude Valley Metro"
163,"Stafford DT"
164,"Bethania DT"
165,"Casula DT"
166,"Bundall DT"
167,"Croydon DT"
168,"Mount Barker DT"
169,"Caloundra DT"
170,"Richlands DT"
171,"Pimpama DT"
172,"Willows DT"
173,"Linden Park DT"
174,"Virginia DT"
175,"Malvern East DT"
176,"North Melbourne"
177,"Hervey Bay DT"
186,"Old Noarlunga DT"
182,"Central Belmont DT"
185,"Burnside DT"
188,Westmead
187,"Rochedale DT"
181,"Campbellfield Plaza DT"
178,"Warnbro DT"
197,"Pakenham DT"
201,"Morayfield DT"
180,"Port Macquarie DT"
191,"Jindalee DT"
189,"Braybrook DT"
202,"Southport Village DT"
183,"Ascot "
194,"Orange DT"
204,"Moonee Ponds"
198,"Malaga DT"
200,"Lake Haven DT"
207,"Stuart Park DT"
210,"Cairns DT"
199,"Warner DT"
214,"Robina DT"
184,"Melton DT"
211,Milton
209,"Fairy Meadow DT"
216,"Fairfield Waters DT"
223,"Kippa-Ring DT"
220,Marrickville
225,Elsternwick
190,"Unanderra DT"
230,"Leopold DT"
226,"Tamworth DT"
222,"Cleveland DT"
86,"Cannon Hill DT"
224,"Nowra DT"
221,"Five Dock"
231,"Yatala DT"
218,"Fairfield (VIC)"
227,"Dubbo DT"
228,"Ripley DT"
179,"Canning Vale DT"
238,"Wilsonton DT"
212,"Molendinar DT"
219,"Glenelg DT"
1001,"Menu Tier 1"
237,"Bondi Beach"
239,"Maryborough DT"
229,"Tighes Hill DT"
213,Brunswick
193,"Wendouree DT"
240,Kogarah
196,"Roxburgh Park DT"
232,"Tuggerah DT"
241,"Rockhampton South"
245,"Gympie DT"
215,"Carrum Downs DT"
250,"Warrawong DT"
252,Umina
248,"Dakabin DT"
244,"Mount Pleasant"
251,"Mount Annan DT"
255,"Palm Beach"
253,"Aspendale Gardens"
242,"Murrumba Downs DT"
256,"Baulkham Hills"
254,Mosman
1,Greenwood
1,"Punt Road"
1,"Orion Springfield"
1,"University of Queensland"
1,"Emporium Melbourne"
1,"Central Park"
1,"Gardens Point"
259,"Albert St"
1,"Perth Airport"
1,Wings
1,"Eagle St Pier"
1,"Mill Park"
249,Mornington
257,"Circular Quay"
259,"Albert Lane"
1,Enoggera
258,"Oran Park "
260,Maroubra
261,"BNE Service Centre"
236,Enoggera
1,Fitzroy
262,Ashfield
263,"Burpengary DT"
10,"Guzman y Gomez - Resto365 Test"
265,Grovedale
247,Mirrabooka
267,Sunbury
266,"Sebastopol "
235,Punchbowl
269,"Port Melbourne"
268,"Mona Vale"
1,Albury
270,Chermside
273,"260 Flinders Street"
277,Wodonga
1,"Seaford "
278,Ellenbrook
275,"Clyde North"
NULL,
280,Underwood
1,"Logan City"
1,Eltham
281,Hendon
279,"Minto "
1,"Mermaid Waters"
1,"Bendigo "
99999,"Menu Tier 2"
1,"Dandenong North "
1,"Bayswater North "
